distance;n_common_business_interest;skills_distinct_sum;common_skills;hobbies_distinct_sum;common_hobbies;proximityScore;businessInterestsScore;skillsScore;hobbiesScore;total_score
200;0;3;2;4;1;28,9;0;6,67;3,75;39,32
300;0;3;3;2;2;24,56;0;0;15;39,56
300;0;5;5;2;2;24,56;0;0;15;39,56
300;0;4;1;3;0;24,56;0;15;0;39,56
300;0;4;1;4;0;24,56;0;15;0;39,56
300;0;3;3;4;4;24,56;0;0;15;39,56
300;0;4;4;2;2;24,56;0;0;15;39,56
300;0;4;1;2;0;24,56;0;15;0;39,56
300;0;2;2;4;4;24,56;0;0;15;39,56
300;0;2;2;3;3;24,56;0;0;15;39,56
300;0;4;4;3;3;24,56;0;0;15;39,56
300;0;4;4;4;4;24,56;0;0;15;39,56
300;0;5;5;4;4;24,56;0;0;15;39,56
300;0;2;2;2;2;24,56;0;0;15;39,56
300;0;5;5;3;3;24,56;0;0;15;39,56
300;0;4;2;3;1;24,56;0;10;5;39,56
300;0;2;1;3;1;24,56;0;10;5;39,56
300;0;3;3;3;3;24,56;0;0;15;39,56
300;0;4;3;3;2;24,56;0;5;10;39,56
400;1;3;3;3;0;20,88;18,75;0;0;39,63
400;1;5;5;3;0;20,88;18,75;0;0;39,63
400;1;2;2;2;0;20,88;18,75;0;0;39,63
400;1;4;4;3;0;20,88;18,75;0;0;39,63
400;1;4;4;4;0;20,88;18,75;0;0;39,63
400;1;5;5;2;0;20,88;18,75;0;0;39,63
400;0;4;1;4;1;20,88;0;15;3,75;39,63
400;1;3;3;4;0;20,88;18,75;0;0;39,63
400;1;4;4;2;0;20,88;18,75;0;0;39,63
400;1;5;5;4;0;20,88;18,75;0;0;39,63
400;1;2;2;3;0;20,88;18,75;0;0;39,63
400;1;3;3;2;0;20,88;18,75;0;0;39,63
400;1;2;2;4;0;20,88;18,75;0;0;39,63
300;0;5;4;4;3;24,56;0;4;11,25;39,82
400;0;5;4;3;3;20,88;0;4;15;39,88
400;0;5;4;2;2;20,88;0;4;15;39,88
400;0;5;4;4;4;20,88;0;4;15;39,88
0;0;3;3;2;0;40;0;0;0;40
0;0;5;5;3;0;40;0;0;0;40
0;0;2;2;4;0;40;0;0;0;40
0;0;2;2;2;0;40;0;0;0;40
0;0;3;3;3;0;40;0;0;0;40
0;0;5;5;2;0;40;0;0;0;40
0;0;4;4;3;0;40;0;0;0;40
0;0;4;4;4;0;40;0;0;0;40
0;0;5;5;4;0;40;0;0;0;40
0;0;2;2;3;0;40;0;0;0;40
0;0;3;3;4;0;40;0;0;0;40
0;0;4;4;2;0;40;0;0;0;40
300;0;5;3;4;2;24,56;0;8;7,5;40,06
300;0;5;3;2;1;24,56;0;8;7,5;40,06
400;0;5;3;4;3;20,88;0;8;11,25;40,13
200;0;2;2;4;3;28,9;0;0;11,25;40,15
200;0;3;3;4;3;28,9;0;0;11,25;40,15
200;0;5;5;4;3;28,9;0;0;11,25;40,15
200;0;4;4;4;3;28,9;0;0;11,25;40,15
300;0;5;2;4;1;24,56;0;12;3,75;40,32
400;0;5;2;2;1;20,88;0;12;7,5;40,38
400;0;5;2;4;2;20,88;0;12;7,5;40,38
200;0;5;4;2;1;28,9;0;4;7,5;40,4
200;0;5;4;4;2;28,9;0;4;7,5;40,4
300;0;5;1;2;0;24,56;0;16;0;40,56
300;0;5;1;3;0;24,56;0;16;0;40,56
300;0;5;1;4;0;24,56;0;16;0;40,56
200;0;3;2;3;1;28,9;0;6,67;5;40,57
400;0;5;1;4;1;20,88;0;16;3,75;40,63
200;0;5;3;4;1;28,9;0;8;3,75;40,65
100;0;3;2;2;0;34;0;6,67;0;40,67
100;0;3;2;4;0;34;0;6,67;0;40,67
100;0;3;2;3;0;34;0;6,67;0;40,67
300;0;4;3;4;3;24,56;0;5;11,25;40,82
400;0;3;0;3;0;20,88;0;20;0;40,88
400;0;2;0;2;0;20,88;0;20;0;40,88
400;0;4;3;4;4;20,88;0;5;15;40,88
